 Time	               Bundle ID	              Status	Comment
0.000	                       -	                   -	TALagent Started (system uptime: 27.70 sec)
0.007	                       -	                   -	Liveness: 0 -> 1 (run_as_server)
0.009	                       -	                   -	Liveness: 1 -> 2 (create_xpc_listener)
0.009	                       -	                   -	Blocking app contact
0.026	                       -	                   -	SecItemCopyMatching() returned errSecItemNotFound. Will attempt to regenerate the key.
0.026	                       -	                   -	Creating a new encryption key
0.160	                       -	                   -	server_show_windows_for_asns start
0.160	                       -	                   -	Allowing apps to contact us
0.161	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.161	                       -	                   -	Still waiting for registration from Finder
0.161	                       -	                   -	Liveness: 2 -> 3 (add_app)
0.161	                       -	                   -	Finder not yet launched, but pretending it is
0.161	        com.apple.finder	                   -	Skipping window creation because the archive was created prior to 10.10 (prev: 10.0)
0.162	                       -	                   -	loginwindow launched no apps (but we still have to handle Finder)
0.162	                       -	                   -	Bitmaps Ready (0 apps, 0 windows)
0.162	        com.apple.finder	                   -	Disposing because it has no windows
0.162	        com.apple.finder	            Disposed	
0.162	                       -	                   -	server_show_windows_for_asns end
0.163	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.163	                       -	                   -	Still waiting for registration from Finder
0.163	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.163	                       -	                   -	Still waiting for registration from Finder
0.172	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.172	                       -	                   -	Still waiting for registration from Finder
0.256	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.256	                       -	                   -	Still waiting for registration from Finder
2.162	                       -	                   -	Liveness: 3 -> 2 (__remove_app_block_invoke)
3.303	                       -	                   -	Liveness: 2 -> 1 (__create_xpc_listener_block_invoke)
4.742	        com.apple.finder	                   -	Finder checked in
4.742	                       -	                   -	All started apps have registered (no remaining unregistered apps)
4.743	                       -	                   -	TAL Relaunch - all apps registered as ready
15.007	                       -	                   -	Liveness: 1 -> 0 (__run_as_server_block_invoke)
15.007	                       -	                   -	Exiting out of boredom
